
----CASH GAMES----------------------------------
Date Start,Date End,Break Total,Session Length,Weekday,Game Type,Game,Stakes,Limit Type,Location,Location Type,Total Buyin,Cashed Out,Tips,Tokes,Net Profit,Gross Profit,Note

11/25/10 5:55 PM,11/25/10 8:55 PM,0:00:00,3:00:00,Thursday,,,$1/$3,,San Diego,Casino,200.00,250.00,0.00,,50.00,50.00,
11/30/10 7:50 PM,11/30/10 10:50 PM,0:00:00,0:00:00,Tuesday,,,$1/$3,No Limit,Tulalip,Casino,200.00,462.00,0.00,0.00,262.00,262.00,
12/14/10 7:20 PM,12/14/10 10:20 PM,0:00:00,0:00:00,Tuesday,,,$1/$3,,Tulalip,Casino,200.00,0.00,0.00,,-200.00,-200.00,
1/4/11 9:35 AM,1/4/11 12:35 AM,0:00:00,0:00:00,Tuesday,,,$1/$3,,Tulalip,Casino,200.00,0.00,0.00,,-200.00,-200.00,
2/15/11 6:07 PM,2/15/11 10:59 PM,0:00:00,4:51:00,Tuesday,,,$1/$3,,Tulalip,Casino,200.00,280.00,0.00,,80.00,80.00,
3/12/11 9:22 PM,3/13/11 12:14 AM,0:00:00,2:51:00,Saturday,,,$1/$3,,Tulalip,Casino,200.00,320.00,0.00,,120.00,120.00,
3/21/11 7:09 PM,3/21/11 11:01 PM,0:00:00,3:51:00,Monday,,,$1/$3,,Tulalip,Casino,200.00,272.00,0.00,,72.00,72.00,
3/30/11 7:51 PM,3/31/11 12:29 AM,0:00:00,4:38:00,Wednesday,,,$1/$3,,Tulalip,Casino,200.00,590.00,0.00,,390.00,390.00,
4/1/11 11:25 PM,4/2/11 3:55 AM,0:00:00,4:29:00,Friday,,,$1/$2,,,,200.00,184.00,0.00,,-16.00,-16.00,
4/5/11 6:58 PM,4/6/11 10:13 AM,0:00:00,15:14:00,Tuesday,,,$1/$3,,Tulalip,Casino,200.00,0.00,0.00,,-200.00,-200.00,
4/13/11 6:16 PM,4/13/11 7:09 PM,0:00:00,0:52:00,Wednesday,,,$1/$3,,Tulalip,Casino,200.00,0.00,0.00,,-200.00,-200.00,
6/3/11 1:30 PM,6/3/11 5:30 PM,0:00:00,0:00:00,Friday,,,,,,,0.00,0.00,0.00,,-170.00,-170.00,
6/30/11 8:50 PM,6/30/11 12:50 PM,0:00:00,0:00:00,Thursday,Poker,Texas Hold'em,,No Limit,Tulalip,Casino,200.00,347.00,0.00,,147.00,147.00,
7/22/11 6:20 PM,7/22/11 9:20 PM,0:00:00,0:00:00,Friday,,,$1/$3,,A Casino,Casino,200.00,403.00,0.00,,203.00,203.00,
7/23/11 2:16 PM,7/24/11 4:20 AM,0:00:00,14:04:00,Saturday,,,$1/$3,,,,300.00,601.00,0.00,,301.00,301.00,
8/4/11 8:45 PM,8/4/11 11:45 PM,0:00:00,0:00:00,Thursday,,,$1/$3,,Tulalip,Casino,200.00,259.00,0.00,,59.00,59.00,
8/5/11 9:50 AM,8/5/11 12:50 AM,0:00:00,0:00:00,Friday,,,$1/$3,,Tulalip,Casino,200.00,0.00,0.00,,-200.00,-200.00,
8/6/11 9:50 AM,8/6/11 12:50 AM,0:00:00,0:00:00,Saturday,,,$1/$3,,Tulalip,Casino,200.00,358.00,0.00,,158.00,158.00,
8/9/11 8:00 PM,8/9/11 12:00 PM,0:00:00,0:00:00,Tuesday,,,$1/$3,,Tulalip,Casino,200.00,260.00,0.00,,60.00,60.00,
8/27/11 7:25 PM,8/27/11 10:25 PM,0:00:00,0:00:00,Saturday,,,$1/$3,,Tulalip,Casino,200.00,0.00,0.00,,-200.00,-200.00,
9/1/11 7:30 PM,9/1/11 10:30 PM,0:00:00,0:00:00,Thursday,,,$1/$3,,Tulalip,Casino,200.00,312.00,0.00,,112.00,112.00,
9/7/11 7:30 PM,9/7/11 10:30 PM,0:00:00,0:00:00,Wednesday,,,$1/$3,,Tulalip,Casino,200.00,612.00,0.00,,412.00,412.00,
9/19/11 7:20 PM,9/19/11 10:20 PM,0:00:00,0:00:00,Monday,,,$1/$3,,Tulalip,Casino,300.00,226.00,0.00,,-74.00,-74.00,
9/22/11 1:40 PM,9/22/11 4:40 PM,0:00:00,0:00:00,Thursday,,,$1/$3,,Tulalip,Casino,200.00,530.00,0.00,,330.00,330.00,
9/28/11 12:15 PM,9/28/11 12:15 PM,0:00:00,0:00:00,Wednesday,,,$1/$3,,Tulalip,Casino,200.00,204.00,0.00,,4.00,4.00,
10/1/11 1:05 AM,10/1/11 4:05 AM,0:00:00,0:00:00,Saturday,,,$1/$3,,Tulalip,Casino,200.00,0.00,0.00,,-200.00,-200.00,
10/6/11 9:35 PM,10/6/11 12:35 PM,0:00:00,0:00:00,Thursday,,,$1/$3,,Tulalip,Casino,100.00,67.00,0.00,,-33.00,-33.00,
10/12/11 7:15 PM,10/12/11 10:15 PM,0:00:00,0:00:00,Wednesday,,,$1/$2,,Royal,,100.00,272.00,1.00,,172.00,173.00,
10/14/11 7:35 PM,10/14/11 10:35 PM,0:00:00,0:00:00,Friday,,,,,Tulalip,Casino,200.00,0.00,0.00,,-200.00,-200.00,
----END CASH GAMES----------------------------------




